ID,SIGNAL_NAME,OFFSET_NUM,NB_BYTES,MASK_HEX,SCALING_FACTOR,SCALING_OFFSET,VOLTAGE_DIVIDER_RATIO,UNIT,DEFAULT_VALUE,DISPLAY_TYPE
1,COM_STATUS,0,1,,,,,,160,HEX
2,,,,,,,,,,
3,WHO_AM_I,9,1,,,,,,160,HEX
4,X_STOC,15,2,,1,-32768,,LSB,,INT
5,X_STOF,17,2,,1,-32768,,LSB,,INT
6,Y_STOC,19,2,,1,-32768,,LSB,,INT
7,Y_STOF,21,2,,1,-32768,,LSB,,INT
8,Z_STOC,23,2,,1,-32768,,LSB,,INT
9,Z_STOF,25,2,,1,-32768,,LSB,,INT
10,X_CONTINOUS,32,2,,0.001953125,-64,,g,,FLOAT
11,Y_CONTINOUS,34,2,,0.001953125,-64,,g,,FLOAT
12,Z_CONTINOUS,36,2,,0.001953125,-64,,g,,FLOAT
13,,,,,,,,,,
14,OUT0-7_TLE_DIAG_OSM,46,2,,,,,,35327,HEX
15,OUT0-7_TLE_DIAG_OSM_STATUS,46,1,,,,,,137,HEX
16,OUT0-7_TLE_DIAG_OSM_OUTn,47,1,,,,,,255,HEX
17,OUT0-7_TLE_DIAG_STD,56,2,,,,,,4096,HEX
18,OUT0-7_TLE_DIAG_STD_UVRVS,56,1,0x40,,,,,0,INT
19,OUT0-7_TLE_DIAG_STD_LOPVDD,56,1,0x20,,,,,0,INT
20,OUT0-7_TLE_DIAG_STD_MODE,56,1,0x18,,,,,2,INT
21,OUT0-7_TLE_DIAG_STD_TER,56,1,0x04,,,,,0,INT
22,OUT0-7_TLE_DIAG_STD_OLOFF,56,1,0x01,,,,,0,INT
23,OUT0-7_TLE_DIAG_STD_ERRn,57,1,,,,,,0,HEX
24,,,,,,,,,,
25,,,,,,,,,,
26,DRV3256_INIT_STATUS,60,1,,,,,,160,HEX
27,INIT_DATA,63,1,,,,,,1,HEX
28,DRV3256_ALL_STAT_REG,66,1,,,,,,160,HEX
29,IC_STAT_1_REG,70,1,,,,,,129,HEX
30,SPI_OK,70,1,0x80,,,,,1,INT
31,FAULT,70,1,0x40,,,,,0,INT
32,WARN,70,1,0x20,,,,,0,INT
33,VDS,70,1,0x10,,,,,0,INT
34,VGS,70,1,0x08,,,,,0,INT
35,UVOV,70,1,0x04,,,,,0,INT
36,OTW,70,1,0x02,,,,,0,INT
37,STAT,70,1,0x01,,,,,1,INT
38,VDS_STAT_REG,72,1,,,,,,0,HEX
39,VDS_HA,72,1,0x20,,,,,0,INT
40,VDS_LA,72,1,0x10,,,,,0,INT
41,VDS_HB,72,1,0x08,,,,,0,INT
42,VDS_LB,72,1,0x04,,,,,0,INT
43,VDS_HC,72,1,0x02,,,,,0,INT
44,VDS_LC,72,1,0x01,,,,,0,INT
45,VGS_STAT_1_REG,81,1,,,,,,0,HEX
46,VGS_HA_H,81,1,0x20,,,,,0,INT
