ID,SIGNAL_NAME,OFFSET_NUM,NB_BYTES,MASK_HEX,SCALING_FACTOR,SCALING_OFFSET,UNIT,VOLTAGE_DIVIDER_RATIO,DEFAULT_VALUE,DISPLAY_TYPE
1,COM_STATUS,0,1,,,,,,160,HEX
2,,1,2,,,,,,,
3,,3,2,,,,,,,
4,CYT2B9_STATUS,5,1,,,,,,160,HEX
5,,6,2,,,,,,,
6,RST_CNT_UNKNOWN,8,1,,,,,,0,INT
7,RST_CNT_PORST,9,1,,,,,,0,INT
8,RST_CNT_VDDRST,10,1,,,,,,0,INT
9,RST_CNT_ExT_RST,11,1,,,,,,0,INT
10,RST_CNT_WDRST,12,1,,,,,,0,INT
11,RST_CNT_SWRST,13,1,,,,,,0,INT
12,ERROR_CAUSE,14,4,,,,,,0,HEX
13,RST_ADDRESS,18,4,,,,,,0,HEX
14,RST_CNT_FAULTRST,22,1,,,,,,0,INT
15,RST_CNT_CSVRST,23,1,,,,,,0,INT
16,,24,2,,,,,,,
17,AN_STATUS,26,1,,,,,,160,HEX
18,,27,2,,,,,,,
19,,29,2,,0.000152588,0,V,,,FLOAT
20,,31,2,,0.000152588,0,V,,,FLOAT
21,,33,4,,,,,,,
22,Min_SIN/HALL0_A,37,2,,0.000152588,0,V,,,FLOAT
23,Max_SIN/HALL0_A,39,2,,0.000152588,0,V,,,FLOAT
24,TIMESTAMP_SIN/HALL0_A,41,4,,,,,,,
25,Min_COSNEG/BRAKE_SW2_A,45,2,,0.000152588,0,V,,,FLOAT
26,Max_COSNEG/BRAKE_SW2_A,47,2,,0.000152588,0,V,,,FLOAT
27,TIMESTAMP_COSNEG/BRAKE_SW2_A,49,4,,,,,,,
28,Min_TEMP_MOTOR_N_A,53,2,,0.000152588,0,V,,,FLOAT
29,Max_TEMP_MOTOR_N_A,55,2,,0.000152588,0,V,,,FLOAT
30,TIMESTAMP_TEMP_MOTOR_N_A,57,4,,,,,,,
31,Min_TGS1_A,61,2,,0.000152588,0,V,,,FLOAT
32,Max_TGS1_A,63,2,,0.000152588,0,V,,,FLOAT
33,TIMESTAMP_TGS1_A,65,4,,,,,,,
